Survived,Pclass,Sex,SibSp,Parch,Embarked
0,3,male,1,0,S
1,1,female,1,0,C
1,3,female,0,0,S
1,1,female,1,0,S
0,3,male,0,0,S
0,3,male,0,0,Q
0,1,male,0,0,S
0,3,male,3,1,S
1,3,female,0,2,S
1,2,female,1,0,C
1,3,female,1,1,S
1,1,female,0,0,S
0,3,male,0,0,S
0,3,male,1,5,S
0,3,female,0,0,S
1,2,female,0,0,S
0,3,male,4,1,Q
1,2,male,0,0,S
0,3,female,1,0,S
1,3,female,0,0,C
0,2,male,0,0,S
1,2,male,0,0,S
1,3,female,0,0,Q
1,1,male,0,0,S
0,3,female,3,1,S
1,3,female,1,5,S
0,3,male,0,0,C
0,1,male,3,2,S
1,3,female,0,0,Q
0,3,male,0,0,S
0,1,male,0,0,C
1,1,female,1,0,C
1,3,female,0,0,Q
0,2,male,0,0,S
0,1,male,1,0,C
0,1,male,1,0,S
1,3,male,0,0,C
0,3,male,0,0,S
0,3,female,2,0,S
1,3,female,1,0,C
0,3,female,1,0,S
0,2,female,1,0,S
0,3,male,0,0,C
1,2,female,1,2,C
1,3,female,0,0,Q
0,3,male,0,0,S
0,3,male,1,0,Q
1,3,female,0,0,Q
0,3,male,2,0,C
0,3,female,1,0,S
0,3,male,4,1,S
0,3,male,0,0,S
1,1,female,1,0,C
1,2,female,1,0,S
0,1,male,0,1,C
1,1,male,0,0,S
1,2,female,0,0,S
0,3,male,0,0,C
1,2,female,1,2,S
0,3,male,5,2,S
0,3,male,0,0,C
1,1,female,0,0,
0,1,male,1,0,S
0,3,male,3,2,S
0,1,male,0,0,C
1,3,male,1,1,C
1,2,female,0,0,S
0,3,male,0,0,S
1,3,female,4,2,S
0,3,male,2,0,S
0,2,male,0,0,S
0,3,female,5,2,S
0,2,male,0,0,S
0,3,male,1,0,C
1,3,male,0,0,S
0,3,male,0,0,S
0,3,male,0,0,S
0,3,male,0,0,S
1,2,male,0,2,S
1,3,female,0,0,S
0,3,male,0,0,S
1,3,male,0,0,S
1,3,female,0,0,Q
0,1,male,0,0,S
1,2,female,0,0,S
1,3,female,3,0,S
0,3,male,1,3,S
0,3,male,0,0,S
1,1,female,3,2,S
0,3,male,0,0,S
0,3,male,0,0,S
0,3,male,0,0,S
0,1,male,1,0,S
0,3,male,1,2,S
0,3,male,0,0,S
0,3,male,0,0,S
0,1,male,0,0,C
1,1,male,0,1,C
1,2,female,0,1,S
0,2,male,1,0,S
0,3,female,0,0,S
0,3,male,0,0,S
0,1,male,0,1,S
0,3,male,0,0,S
0,3,male,2,0,S
0,3,male,0,0,S
1,3,female,0,0,S
1,3,male,0,0,S
0,3,male,0,0,S
1,3,female,1,0,Q
0,1,male,0,0,S
0,3,female,1,0,C
0,3,male,0,0,S
0,3,female,1,0,S
0,3,female,0,0,C
0,3,male,0,0,S
0,3,male,0,0,Q
0,2,male,1,0,S
0,1,male,0,1,C
0,3,female,4,2,S
0,2,male,2,0,S
0,3,male,0,0,S
0,2,male,1,0,C
1,2,female,0,0,S
0,1,male,0,1,S
1,3,male,1,0,C
0,3,male,0,0,Q
1,3,male,0,0,S
1,3,female,1,1,C
0,3,male,0,0,S
0,3,male,0,0,C
0,3,male,0,0,S
0,3,female,1,0,S
1,2,female,1,0,S
0,2,male,0,0,S
0,2,male,0,0,C
1,1,female,0,2,S
0,1,male,1,0,S
0,3,male,0,0,S
0,1,male,0,0,C
0,3,female,0,2,C
1,3,female,0,0,S
1,3,female,1,0,S
0,3,male,0,0,Q
0,2,male,0,0,S
0,2,male,1,1,S
1,3,male,0,0,S
0,3,female,2,2,S
0,2,male,0,2,S
0,2,male,0,0,S
0,2,male,0,0,S
1,1,female,1,0,S
0,3,male,0,0,S
0,3,male,0,2,S
0,3,male,0,0,S
0,1,male,0,1,C
1,3,female,0,0,Q
0,3,male,0,0,S
0,3,male,0,0,S
0,3,male,8,2,S
0,3,male,0,1,S
1,2,female,0,0,S
0,3,male,0,0,S
0,3,male,0,0,S
0,3,male,4,1,S
1,3,male,0,2,S
1,1,female,0,1,S
0,3,female,1,4,S
0,1,male,0,0,S
0,3,male,0,0,S
0,1,male,0,0,S
0,3,male,4,1,Q
1,3,female,1,1,S
0,3,male,0,0,S
0,1,male,0,0,C
0,3,male,1,1,S
0,3,male,3,1,S
0,1,female,0,0,C
0,2,male,0,0,S
0,3,male,0,0,S
0,3,female,8,2,S
0,2,male,0,0,C
0,3,male,4,2,S
1,2,male,2,1,S
1,3,female,0,2,S
0,1,male,0,0,S
1,3,female,1,0,Q
1,1,male,0,0,S
0,3,male,1,1,Q
0,3,male,0,0,S
1,2,female,0,0,S
0,2,male,0,0,S
1,3,female,1,0,S
1,2,male,1,1,S
1,1,female,0,0,C
1,1,female,0,0,C
0,3,male,0,0,Q
0,3,male,0,1,S
1,3,female,0,0,Q
0,2,female,0,0,S
0,3,male,0,0,S
0,3,male,8,2,S
0,3,male,0,0,S
0,3,male,0,0,C
1,3,male,0,0,S
0,3,female,0,1,S
0,3,male,1,0,S
1,3,male,0,0,C
1,3,female,0,0,Q
1,1,male,0,0,C
0,3,male,0,0,S
1,2,female,0,0,S
0,3,male,0,0,S
0,2,male,0,0,S
0,3,male,1,0,Q
1,1,female,1,0,C
1,3,female,0,0,S
0,2,male,1,0,S
1,1,female,0,0,C
0,2,male,0,0,S
1,3,male,0,0,S
0,2,male,0,0,S
0,3,male,0,0,S
0,3,male,0,0,S
1,1,male,1,0,S
0,3,male,0,0,S
1,2,male,0,0,S
0,3,male,0,0,S
0,2,male,0,0,S
0,3,female,3,1,S
1,1,female,1,0,S
0,3,male,0,0,S
0,2,male,0,0,S
1,3,female,4,2,S
0,2,male,0,0,S
0,3,female,0,0,S
0,2,male,1,0,S
1,2,female,0,2,S
0,2,male,0,0,S
0,2,male,0,0,S
0,3,female,1,0,C
1,3,female,1,0,Q
0,2,male,0,0,S
0,3,male,0,0,S
0,3,male,0,0,C
0,1,male,2,0,Q
0,3,female,0,0,S
1,2,female,0,2,S
1,1,male,1,1,S
0,2,male,1,0,S
0,3,male,0,0,S
0,3,female,1,1,S
0,1,male,0,0,S
0,3,male,1,0,S
0,3,female,0,2,S
1,3,female,0,2,C
1,1,female,0,0,C
1,1,female,0,0,S
1,1,female,0,0,C
1,2,female,0,1,S
0,3,male,0,0,Q
1,3,male,4,2,S
0,1,male,1,1,S
0,1,male,0,0,S
0,3,female,0,0,Q
0,2,male,0,0,S
0,3,male,4,1,S
1,3,male,1,0,S
1,1,female,0,1,S
1,1,female,0,0,S
0,1,male,0,0,S
1,3,male,0,0,S
1,2,female,0,1,S
0,1,male,0,1,C
1,3,female,0,0,Q
1,1,female,1,0,S
0,3,female,0,0,S
0,2,male,0,0,S
0,3,male,4,1,Q
1,3,female,1,1,S
0,3,male,0,0,Q
0,3,male,0,0,S
0,3,male,0,0,S
1,3,male,0,0,S
0,1,male,0,0,S
0,3,male,0,0,C
1,3,male,0,0,S
0,3,male,0,0,S
1,2,male,0,0,S
1,3,female,0,0,Q
1,1,female,0,0,S
1,1,female,1,0,C
0,2,male,0,0,C
0,3,female,0,0,S
0,3,male,0,0,S
0,1,male,0,0,C
0,3,male,0,0,C
0,1,female,1,2,S
1,1,male,0,0,S
1,1,female,0,1,C
1,3,female,0,0,Q
1,3,male,2,0,Q
0,3,male,0,0,S
1,2,female,0,0,Q
0,3,male,0,0,S
1,1,male,1,2,S
1,1,female,0,0,C
1,1,female,1,0,C
0,2,male,1,0,C
1,1,female,0,0,C
1,1,female,0,0,C
1,1,female,2,2,C
0,2,female,1,1,S
0,3,male,0,0,S
0,2,male,1,1,S
1,3,female,0,0,S
1,2,female,1,0,S
0,2,male,0,0,S
1,1,female,0,2,S
1,1,female,1,1,C
0,3,male,0,0,S
0,3,male,0,0,S
1,2,female,0,0,Q
1,2,female,1,1,S
0,3,male,8,2,S
1,1,female,0,0,C
0,3,male,0,0,S
1,2,female,0,0,S
1,3,female,1,1,S
1,1,female,0,1,C
1,3,female,2,0,Q
0,1,male,0,0,S
0,1,male,0,1,S
0,3,male,2,0,S
1,1,female,1,0,S
0,3,male,0,0,S
0,1,male,1,0,S
1,1,female,0,0,C
