Survived,Pclass,Sex,SibSp,Parch,Embarked,Fare,Age
0,3,male,1,0,S,7.25,22
1,1,female,1,0,C,71.2833,38
1,3,female,0,0,S,7.925,26
1,1,female,1,0,S,53.1,35
0,3,male,0,0,S,8.05,35
0,3,male,0,0,Q,8.4583,
0,1,male,0,0,S,51.8625,54
0,3,male,3,1,S,21.075,2
1,3,female,0,2,S,11.1333,27
1,2,female,1,0,C,30.0708,14
1,3,female,1,1,S,16.7,4
1,1,female,0,0,S,26.55,58
0,3,male,0,0,S,8.05,20
0,3,male,1,5,S,31.275,39
0,3,female,0,0,S,7.8542,14
1,2,female,0,0,S,16,55
0,3,male,4,1,Q,29.125,2
1,2,male,0,0,S,13,
0,3,female,1,0,S,18,31
1,3,female,0,0,C,7.225,
0,2,male,0,0,S,26,35
1,2,male,0,0,S,13,34
1,3,female,0,0,Q,8.0292,15
1,1,male,0,0,S,35.5,28
0,3,female,3,1,S,21.075,8
1,3,female,1,5,S,31.3875,38
0,3,male,0,0,C,7.225,
0,1,male,3,2,S,263,19
1,3,female,0,0,Q,7.8792,
0,3,male,0,0,S,7.8958,
0,1,male,0,0,C,27.7208,40
1,1,female,1,0,C,146.5208,
1,3,female,0,0,Q,7.75,
0,2,male,0,0,S,10.5,66
0,1,male,1,0,C,82.1708,28
0,1,male,1,0,S,52,42
1,3,male,0,0,C,7.2292,
0,3,male,0,0,S,8.05,21
0,3,female,2,0,S,18,18
1,3,female,1,0,C,11.2417,14
0,3,female,1,0,S,9.475,40
0,2,female,1,0,S,21,27
0,3,male,0,0,C,7.8958,
1,2,female,1,2,C,41.5792,3
1,3,female,0,0,Q,7.8792,19
0,3,male,0,0,S,8.05,
0,3,male,1,0,Q,15.5,
1,3,female,0,0,Q,7.75,
0,3,male,2,0,C,21.6792,
0,3,female,1,0,S,17.8,18
0,3,male,4,1,S,39.6875,7
0,3,male,0,0,S,7.8,21
1,1,female,1,0,C,76.7292,49
1,2,female,1,0,S,26,29
0,1,male,0,1,C,61.9792,65
1,1,male,0,0,S,35.5,
1,2,female,0,0,S,10.5,21
0,3,male,0,0,C,7.2292,28.5
1,2,female,1,2,S,27.75,5
0,3,male,5,2,S,46.9,11
0,3,male,0,0,C,7.2292,22
1,1,female,0,0,,80,38
0,1,male,1,0,S,83.475,45
0,3,male,3,2,S,27.9,4
0,1,male,0,0,C,27.7208,
1,3,male,1,1,C,15.2458,
1,2,female,0,0,S,10.5,29
0,3,male,0,0,S,8.1583,19
1,3,female,4,2,S,7.925,17
0,3,male,2,0,S,8.6625,26
0,2,male,0,0,S,10.5,32
0,3,female,5,2,S,46.9,16
0,2,male,0,0,S,73.5,21
0,3,male,1,0,C,14.4542,26
1,3,male,0,0,S,56.4958,32
0,3,male,0,0,S,7.65,25
0,3,male,0,0,S,7.8958,
0,3,male,0,0,S,8.05,
1,2,male,0,2,S,29,0.83
1,3,female,0,0,S,12.475,30
0,3,male,0,0,S,9,22
1,3,male,0,0,S,9.5,29
1,3,female,0,0,Q,7.7875,
0,1,male,0,0,S,47.1,28
1,2,female,0,0,S,10.5,17
1,3,female,3,0,S,15.85,33
0,3,male,1,3,S,34.375,16
0,3,male,0,0,S,8.05,
1,1,female,3,2,S,263,23
0,3,male,0,0,S,8.05,24
0,3,male,0,0,S,8.05,29
0,3,male,0,0,S,7.8542,20
0,1,male,1,0,S,61.175,46
0,3,male,1,2,S,20.575,26
0,3,male,0,0,S,7.25,59
0,3,male,0,0,S,8.05,
0,1,male,0,0,C,34.6542,71
1,1,male,0,1,C,63.3583,23
1,2,female,0,1,S,23,34
0,2,male,1,0,S,26,34
0,3,female,0,0,S,7.8958,28
0,3,male,0,0,S,7.8958,
